Date,realConsGrowth,RealSP500,realIr
1965-07-01,0.013239179905113474,-0.001254991443240261,0.003434379290046863
1965-08-01,0.00768018231862877,0.018163125428375615,0.003474495003497502
1965-09-01,0.01695712206675637,0.03264893975092553,0.0035065748777713956
1965-10-01,0.01111855157391961,0.018831477741813263,0.00038888593409458494
1965-11-01,0.001307759558657029,0.008291697671946485,0.0036347816898771867
1965-12-01,0.002497669354870613,-0.007348577528902056,0.0006142923602869832
1966-01-01,0.007552091131566296,0.017046056114345953,0.0037628086026935126
1966-02-01,0.0044211024478642,-0.012560509056839253,-0.0023360631215356698
1966-03-01,0.00703654059242842,-0.04269822075787921,0.0008428361388701511
1966-04-01,-0.002219178823103185,0.023516036178933053,-0.0023412573298032813
1966-05-01,-0.008000042667076102,-0.050953389830508344,0.003898640670782605
